관명,우편번호,주소
서울특별시지방경찰청 서울방배경찰서,06677,서울특별시 서초구 동작대로 204(방배동)
서울특별시지방경찰청 서울서대문경찰서,03738,서울특별시 서대문구 통일로 113 (미근동)
서울특별시지방경찰청 서울서부경찰서,03458,서울특별시 은평구 진흥로58 (녹번동)
서울특별시지방경찰청 서울서초경찰서,06590,서울특별시 서초구 반포대로 179 (서초동)
서울특별시지방경찰청 서울성동경찰서,04750,서울특별시 성동구 왕십리광장로 9 (행당동)
서울특별시지방경찰청 서울성북경찰서,02848,서울특별시 성북구 보문로 170 (삼선동5가)
서울특별시지방경찰청 서울송파경찰서,05701,서울특별시 송파구 중대로 221 (가락동)
서울특별시지방경찰청 서울수서경찰서,06336,서울특별시 강남구 개포로 617 (개포동)
서울특별시지방경찰청 서울양천경찰서,08095,서울특별시 양천구 목동동로 99 (신정동)
서울특별시지방경찰청 서울영등포경찰서,07258,서울특별시 영등포구 국회대로 608 (당산동3가)
서울특별시지방경찰청 서울용산경찰서,04314,서울특별시 용산구 원효로89길 24 (원효로1가)
서울특별시지방경찰청 서울은평경찰서,03338,서울특별시 은평구 연서로 365 (불광동)
서울특별시지방경찰청 서울종로경찰서,03147,서울특별시 종로구 율곡로 46 (경운동)
서울특별시지방경찰청 서울종암경찰서,02803,서울특별시 성북구 종암로 135 (종암동)
서울특별시지방경찰청 서울중랑경찰서,02055,서울특별시 중랑구 신내역로3길 40-10 (신내동)
서울특별시지방경찰청 서울중부경찰서,04552,서울특별시 중구 수표로 27 (저동2가)
서울특별시지방경찰청 서울혜화경찰서,03130,서울특별시 종로구 창경궁로 112-16 (인의동)
울산광역시지방경찰청 울산남부경찰서,44677,울산광역시 남구 삼산로35번길 25 (신정동)
울산광역시지방경찰청 울산동부경찰서,44047,울산광역시 동구 진성4길 11 (전하동)
울산광역시지방경찰청 울산울주경찰서,44925,울산광역시 울주군 범서읍 점촌6길 6
