구분,지정번호,명     칭,수  량,"구,군",소 재 지,지정일자(인정일자)
보물,1321,무예제보번역속집,1책,달서구,달서구 달구벌대로1095 계명대학교,2001-08-03
보물,1334,화원 우배선 의병진 관련자료,4종15점,달서구,달서구 송현로7길 38 월곡박물관,2002-01-02
보물,1335,대장일람집,1책,달서구,달서구 달구벌대로1095 계명대학교,2002-01-02
보물,1369,번역명의집,14권8책,달서구,달서구 달구벌대로1095 계명대학교,2003-02-03
보물,1398,청자 상감 오리모양 주전자,1점,수성구,수성구 청호로,2004-03-03
보물,1400,분청사기 상감모란당초문 장군,1점,수성구,수성구 청호로,2004-03-03
보물,1463-(1),"용비어천가 권8, 9, 10",3권3책,달서구,달서구 달구벌대로1095 계명대학교,2006-04-28
보물,1464,사마방목,1책,달서구,달서구 달구벌대로1095 계명대학교,2006-04-28
보물,1465,도은선생집,5권1책,달서구,달서구 달구벌대로1095 계명대학교,2006-04-28
보물,1466,진일유고,4권1책,달서구,달서구 달구벌대로1095 계명대학교,2006-04-28
보물,1502,전 윤효전 초상,1폭,중구,중구 동덕로 33,2006-12-29
보물,1505,대구 동화사 사명당 유정 진영,1폭,동구,동구 동화사1길 1(도학동),2006-12-29
보물,1563,대구 동화사 대웅전,1동,동구,동구 동화사1길 1(도학동),2008-04-28
보물,1600,진주성도,1점10폭,달서구,달서구 달구벌대로1095 계명대학교,2008-12-22
보물,1607,대구 동화사 목조약사여래좌상 복장전적,7종,동구,동구 동화사1길 1(도학동),2009-02-23
보물,1610,대구 동화사 아미타회상도,3점,동구,동구 동화사1길 1(도학동),2009-02-23
보물,1617,이헌국 호성공신교서,1점,수성구,수성구 청호로321(황금동),2009-06-29
보물,1639,대구 동화사 보조국사지눌진영,1폭,동구,동구 동화사1길 1(도학동),2010-02-24
보물,1702,삼봉선생집 권1,1책,달서구,달서구 달구벌대로1095 계명대학교,2011-02-25
보물,1703,수계선생비점맹호연집,3권1책,달서구,달서구 달구벌대로1095 계명대학교,2011-02-25
보물,1704,신간상명산법,2권1책,달서구,달서구 달구벌대로1095 계명대학교,2011-02-25
보물,1705,초조본 아비달마대비바사론 권38,1권1축,달서구,달서구 달구벌대로1095 계명대학교,2011-02-25
보물,1706,초조본 집대승상론 권하,1권1축,달서구,달서구 달구벌대로1095 계명대학교,2011-02-25
보물,1707,대방광불화엄경소,41첩,달서구,달서구 달구벌대로1095 계명대학교,2011-02-25
보물,1713,대승기신론소,3권1책,남구,남구 효성로 13,2011-04-29
보물,1772,대구 동화사 삼장보살도,1폭,동구,동구 동화사1길 1(도학동),2012-08-24
보물,1773,대구 동화사 지장시왕도,1폭,동구,동구 동화사1길 1(도학동),2012-08-24
